Sample ID,Region,Test Type,Status,Test Date,Rejection Reason
TEST-154,Uttar Pradesh,Cinnamon,Pending,2025-03-26,None
TEST-155,Uttar Pradesh,Clove,Rejected,2025-01-04,Contamination
TEST-156,Kerala,Bay Leaf,Pending,2025-03-08,None
TEST-157,Uttar Pradesh,Bay Leaf,Pending,2025-01-11,None
TEST-158,Rajasthan,Nutmeg,Rejected,2025-03-21,Incorrect Sample
TEST-159,Haryana,Bay Leaf,Rejected,2025-03-17,None
TEST-160,Uttar Pradesh,Bay Leaf,Pending,2025-01-31,None
TEST-161,Uttar Pradesh,Clove,Completed,2025-03-09,None
TEST-162,Uttar Pradesh,Clove,Completed,2025-03-25,None
TEST-163,Uttar Pradesh,Cardamom,Pending,2025-01-02,None
TEST-164,Uttar Pradesh,Cardamom,Pending,2025-03-09,None
TEST-165,Rajasthan,Clove,Pending,2025-03-05,None
TEST-166,Tamil Nadu,Cinnamon,Rejected,2025-01-11,Incorrect Sample
TEST-167,Rajasthan,Nutmeg,Pending,2025-01-06,None
TEST-168,Haryana,Nutmeg,Rejected,2025-02-11,Incorrect Sample
TEST-169,Haryana,Cardamom,Rejected,2025-03-20,None
TEST-170,Uttar Pradesh,Nutmeg,Rejected,2025-01-07,None
TEST-171,Tamil Nadu,Cinnamon,Pending,2025-02-13,None
TEST-172,Haryana,Cardamom,Rejected,2025-01-16,Incorrect Sample
TEST-173,Haryana,Bay Leaf,Completed,2025-03-22,None
TEST-174,Uttar Pradesh,Cardamom,Completed,2025-02-01,None
TEST-175,Uttar Pradesh,Clove,Rejected,2025-03-26,Incorrect Sample
TEST-176,Kerala,Cardamom,Pending,2025-01-23,None
TEST-177,Kerala,Cardamom,Completed,2025-01-04,None
TEST-178,Uttar Pradesh,Cardamom,Rejected,2025-02-10,Contamination
TEST-179,Uttar Pradesh,Nutmeg,Completed,2025-03-11,None
TEST-180,Haryana,Nutmeg,Completed,2025-03-21,None
TEST-181,Uttar Pradesh,Clove,Rejected,2025-01-28,Incorrect Sample
TEST-182,Kerala,Bay Leaf,Completed,2025-01-23,None
TEST-183,Rajasthan,Cardamom,Completed,2025-01-19,None
TEST-184,Haryana,Nutmeg,Completed,2025-01-11,None
TEST-185,Tamil Nadu,Nutmeg,Pending,2025-02-26,None
TEST-186,Uttar Pradesh,Cinnamon,Pending,2025-02-26,None
TEST-187,Tamil Nadu,Clove,Rejected,2025-01-18,None
TEST-188,Rajasthan,Nutmeg,Pending,2025-03-19,None
TEST-189,Haryana,Nutmeg,Pending,2025-01-07,None
TEST-190,Rajasthan,Bay Leaf,Completed,2025-01-03,None
TEST-191,Kerala,Cardamom,Pending,2025-02-23,None
TEST-192,Uttar Pradesh,Nutmeg,Rejected,2025-02-28,Contamination
TEST-193,Tamil Nadu,Cinnamon,Completed,2025-01-23,None
TEST-194,Uttar Pradesh,Cinnamon,Rejected,2025-01-30,Contamination
TEST-195,Uttar Pradesh,Cinnamon,Rejected,2025-01-16,Contamination
TEST-196,Rajasthan,Nutmeg,Completed,2025-03-30,None
TEST-197,Haryana,Bay Leaf,Pending,2025-01-04,None
TEST-198,Uttar Pradesh,Bay Leaf,Pending,2025-01-19,None
TEST-199,Haryana,Clove,Completed,2025-03-10,None
TEST-200,Uttar Pradesh,Clove,Rejected,2025-03-03,Contamination
