Sample ID,Region,Test Type,Status,Test Date,Rejection Reason
SAMPLE-134,Gujarat,Coriander,Completed,2025-01-27,None
SAMPLE-135,Gujarat,Black Pepper,Completed,2025-02-17,None
SAMPLE-136,Maharashtra,Coriander,Pending,2025-01-21,None
SAMPLE-137,Gujarat,Coriander,Completed,2025-02-14,None
SAMPLE-138,Delhi,Coriander,Pending,2025-01-26,None
SAMPLE-139,Karnataka,Coriander,Completed,2025-02-03,None
SAMPLE-140,Karnataka,Red Chili,Completed,2025-03-28,None
SAMPLE-141,Gujarat,Black Pepper,Completed,2025-02-02,None
SAMPLE-142,Maharashtra,Black Pepper,Completed,2025-01-23,None
SAMPLE-143,Punjab,Cumin,Rejected,2025-03-19,None
SAMPLE-144,Gujarat,Turmeric,Completed,2025-01-04,None
SAMPLE-145,Karnataka,Turmeric,Rejected,2025-03-12,Contamination
SAMPLE-146,Punjab,Coriander,Pending,2025-03-10,None
SAMPLE-147,Maharashtra,Coriander,Rejected,2025-03-13,None
SAMPLE-148,Karnataka,Turmeric,Rejected,2025-02-25,Contamination
SAMPLE-149,Punjab,Coriander,Pending,2025-03-18,None
SAMPLE-150,Maharashtra,Black Pepper,Completed,2025-02-18,None
SAMPLE-151,Delhi,Coriander,Rejected,2025-03-17,None
SAMPLE-152,Maharashtra,Black Pepper,Rejected,2025-03-05,Contamination
SAMPLE-153,Maharashtra,Black Pepper,Pending,2025-02-18,None
SAMPLE-154,Gujarat,Turmeric,Pending,2025-03-17,None
SAMPLE-155,Punjab,Black Pepper,Completed,2025-02-28,None
SAMPLE-156,Karnataka,Cumin,Pending,2025-01-01,None
SAMPLE-157,Karnataka,Black Pepper,Pending,2025-03-28,None
SAMPLE-158,Maharashtra,Black Pepper,Completed,2025-03-17,None
SAMPLE-159,Maharashtra,Black Pepper,Pending,2025-01-01,None
SAMPLE-160,Maharashtra,Cumin,Pending,2025-01-06,None
SAMPLE-161,Delhi,Turmeric,Rejected,2025-01-04,Contamination
SAMPLE-162,Punjab,Black Pepper,Pending,2025-03-18,None
SAMPLE-163,Maharashtra,Coriander,Pending,2025-01-22,None
SAMPLE-164,Punjab,Red Chili,Pending,2025-02-01,None
SAMPLE-165,Maharashtra,Black Pepper,Rejected,2025-01-31,Incorrect Sample
SAMPLE-166,Karnataka,Coriander,Pending,2025-03-05,None
SAMPLE-167,Karnataka,Black Pepper,Pending,2025-01-27,None
SAMPLE-168,Gujarat,Coriander,Rejected,2025-02-22,Incorrect Sample
SAMPLE-169,Karnataka,Turmeric,Pending,2025-01-02,None
SAMPLE-170,Karnataka,Turmeric,Rejected,2025-03-23,None
SAMPLE-171,Punjab,Coriander,Pending,2025-01-24,None
SAMPLE-172,Punjab,Turmeric,Completed,2025-03-12,None
SAMPLE-173,Delhi,Black Pepper,Completed,2025-02-25,None
SAMPLE-174,Maharashtra,Cumin,Pending,2025-02-02,None
SAMPLE-175,Gujarat,Black Pepper,Pending,2025-01-19,None
SAMPLE-176,Karnataka,Turmeric,Completed,2025-01-28,None
SAMPLE-177,Maharashtra,Turmeric,Rejected,2025-01-16,Contamination
SAMPLE-178,Maharashtra,Coriander,Completed,2025-01-03,None
SAMPLE-179,Karnataka,Turmeric,Pending,2025-03-13,None
SAMPLE-180,Punjab,Cumin,Completed,2025-01-03,None
SAMPLE-181,Delhi,Red Chili,Rejected,2025-02-17,Contamination
SAMPLE-182,Karnataka,Black Pepper,Completed,2025-01-29,None
SAMPLE-183,Delhi,Red Chili,Completed,2025-03-24,None
SAMPLE-184,Maharashtra,Black Pepper,Completed,2025-02-21,None
SAMPLE-185,Delhi,Red Chili,Completed,2025-02-24,None
SAMPLE-186,Gujarat,Coriander,Rejected,2025-03-05,Incorrect Sample
SAMPLE-187,Karnataka,Turmeric,Rejected,2025-03-02,Contamination
SAMPLE-188,Gujarat,Black Pepper,Completed,2025-01-12,None
SAMPLE-189,Gujarat,Turmeric,Pending,2025-01-05,None
SAMPLE-190,Delhi,Turmeric,Completed,2025-02-28,None
SAMPLE-191,Gujarat,Red Chili,Completed,2025-02-28,None
SAMPLE-192,Maharashtra,Red Chili,Rejected,2025-01-13,None
SAMPLE-193,Delhi,Black Pepper,Rejected,2024-12-31,Incorrect Sample
SAMPLE-194,Karnataka,Coriander,Rejected,2025-01-22,None
SAMPLE-195,Punjab,Coriander,Rejected,2025-02-20,None
SAMPLE-196,Maharashtra,Coriander,Pending,2025-03-11,None
SAMPLE-197,Gujarat,Coriander,Pending,2025-03-09,None
SAMPLE-198,Karnataka,Red Chili,Rejected,2025-03-11,Contamination
SAMPLE-199,Gujarat,Cumin,Pending,2025-02-08,None
SAMPLE-200,Maharashtra,Cumin,Pending,2025-01-02,None
